@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Barack-Obama,Stephen-Colbert,Ashton-Kutcher,Kim-Kardashian,Neil-Tyson,Shakira}

@data
0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,13.000000,3.466667,1,Barack-Obama
1,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,9.000000,4.350000,2,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,4,1,1,0,0,1,8.500000,3.250000,2,Barack-Obama
2,3,0,1,0,0,1,1,0,0,0,2,0,1,1,0,0,7.000000,2.666667,3,Barack-Obama
0,0,0,1,0,0,1,1,0,0,0,3,4,0,0,0,2,22.000000,3.230769,1,Barack-Obama
0,1,0,1,1,0,0,0,0,0,0,4,6,0,0,0,0,17.000000,5.055556,1,Barack-Obama
0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,10.000000,5.181818,1,Barack-Obama
0,0,1,0,0,0,0,0,1,0,0,0,6,2,0,0,0,10.500000,3.636364,2,Barack-Obama
1,0,0,1,0,0,0,1,0,0,0,4,0,0,1,0,0,8.000000,4.764706,2,Barack-Obama
2,0,1,0,1,0,0,1,0,0,0,3,1,0,2,0,0,11.000000,3.666667,2,Barack-Obama
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.000000,3.666667,1,Barack-Obama
0,1,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,8.500000,4.105263,2,Barack-Obama
0,0,1,2,0,0,0,1,0,0,0,5,2,0,0,0,0,15.000000,4.411765,1,Barack-Obama
0,0,2,1,0,1,1,0,0,0,0,5,2,0,0,0,1,18.000000,5.100000,1,Barack-Obama
0,1,0,0,0,0,1,0,0,0,0,3,1,3,0,0,0,18.000000,4.050000,1,Barack-Obama
1,0,0,1,0,1,2,1,0,0,0,8,0,0,1,0,0,19.000000,3.652174,1,Barack-Obama
1,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,1,6.500000,2.437500,2,Barack-Obama
3,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,20.000000,4.142857,1,Barack-Obama
0,0,0,1,0,0,1,0,0,0,0,8,2,0,3,0,1,12.500000,3.655172,2,Barack-Obama
0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,14.000000,3.933333,1,Barack-Obama
0,0,0,1,0,0,0,1,0,0,0,7,2,1,0,0,0,20.000000,4.619048,1,Barack-Obama
2,0,0,0,1,0,0,1,0,0,0,3,2,0,1,0,1,14.000000,3.562500,1,Barack-Obama
0,2,0,0,0,0,0,1,0,0,0,6,2,0,0,0,1,20.000000,4.818182,1,Barack-Obama
2,0,0,0,0,0,1,1,0,0,0,6,1,3,0,0,1,8.500000,3.636364,2,Barack-Obama
0,0,0,1,1,0,1,0,1,0,0,4,0,1,0,0,0,13.000000,3.600000,1,Barack-Obama
0,1,0,0,1,1,1,0,0,0,0,5,1,0,0,0,0,17.000000,4.263158,1,Barack-Obama
0,0,0,0,1,0,1,0,0,0,0,5,1,2,0,0,0,14.000000,4.882353,1,Barack-Obama
1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,6.500000,3.058824,2,Barack-Obama
1,0,1,0,0,0,1,0,0,0,0,5,1,2,0,0,1,5.333333,2.736842,3,Barack-Obama
1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,13.000000,4.307692,1,Barack-Obama
0,0,0,1,0,0,0,1,0,0,0,9,3,0,0,0,1,10.500000,4.272727,2,Barack-Obama
0,0,2,0,0,0,0,0,0,0,0,4,1,1,2,0,0,23.000000,4.440000,1,Barack-Obama
0,0,1,0,0,0,1,1,0,0,0,6,0,1,0,0,0,9.500000,3.590909,2,Barack-Obama
0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,15.000000,4.000000,1,Barack-Obama
0,0,0,1,1,0,1,2,0,0,0,5,0,1,0,0,0,7.000000,3.500000,2,Barack-Obama
2,1,0,0,1,0,0,1,0,0,0,5,1,0,0,0,0,10.500000,2.960000,2,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,4.000000,3.000000,1,Barack-Obama
1,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,9.500000,3.434783,2,Barack-Obama
0,1,0,0,0,0,0,3,0,0,0,2,4,0,1,0,3,7.500000,2.888889,2,Barack-Obama
0,1,0,1,0,0,0,0,0,0,0,6,1,0,0,0,2,10.000000,4.000000,2,Barack-Obama
0,0,1,0,0,0,1,0,0,0,0,2,3,2,0,0,1,4.666667,2.411765,3,Barack-Obama
0,0,0,0,0,1,0,1,0,0,0,7,4,0,0,0,1,11.000000,3.560000,2,Barack-Obama
2,1,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,21.000000,3.416667,1,Barack-Obama
1,0,0,2,0,0,0,1,0,0,0,7,0,0,1,0,0,23.000000,3.560000,1,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,1,5.000000,2.428571,2,Barack-Obama
1,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,14.000000,3.705882,1,Barack-Obama
0,0,1,0,0,0,0,1,0,0,0,4,4,1,0,0,2,9.000000,3.578947,2,Barack-Obama
0,1,0,1,0,0,2,2,0,0,0,5,4,0,0,0,2,20.000000,2.958333,1,Barack-Obama
1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,1,21.000000,4.153846,1,Barack-Obama
0,0,1,1,0,0,1,1,0,0,0,6,2,2,0,0,1,9.000000,3.571429,2,Barack-Obama
