@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {cnncbc}

@data
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6.000000,6.500000,1,cnncbc
0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,7.000000,4.750000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10.000000,3.900000,1,cnncbc
0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,4.500000,2.181818,2,cnncbc
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.000000,7.500000,1,cnncbc
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7.000000,3.875000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9.000000,4.444444,1,cnncbc
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7.000000,6.000000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,6.000000,4.000000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6.000000,5.000000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.000000,7.000000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,9.000000,5.333333,1,cnncbc
0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,9.000000,4.777778,1,cnncbc
0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,7.000000,4.125000,1,cnncbc
0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7.000000,4.571429,1,cnncbc
