@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Britney-Spears,Justin-Bieber,Katy-Perry,Lady-Gaga,Rihanna,Taylor-Swift}

@data
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.000000,3.200000,1,Britney-Spears
0,0,0,0,1,0,0,1,1,1,0,7,3,3,0,2,1,7.000000,3.160000,3,Britney-Spears
0,0,0,0,0,0,2,1,1,0,0,3,4,0,0,0,0,10.000000,3.538462,1,Britney-Spears
1,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,5.333333,3.470588,3,Britney-Spears
0,2,1,1,0,0,0,0,1,0,0,6,0,2,0,0,1,12.000000,3.400000,2,Britney-Spears
1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,5.000000,2.777778,3,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,3.000000,4.333333,2,Britney-Spears
0,2,0,0,0,1,0,0,1,0,0,5,2,0,1,1,1,13.000000,3.464286,2,Britney-Spears
0,0,0,0,0,0,1,0,1,0,0,5,2,1,0,0,0,19.000000,4.136364,1,Britney-Spears
1,2,0,0,0,0,1,0,1,0,1,6,2,3,0,1,0,9.333333,3.129032,3,Britney-Spears
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.000000,3.111111,1,Britney-Spears
0,2,1,0,0,0,0,0,1,0,0,4,2,4,0,0,7,7.000000,2.956522,3,Britney-Spears
1,0,0,0,0,1,0,0,1,0,0,4,2,1,0,0,1,9.333333,3.448276,3,Britney-Spears
1,0,1,0,0,0,0,0,1,0,0,5,2,3,0,1,1,13.000000,3.321429,2,Britney-Spears
0,0,0,0,0,0,1,1,1,0,1,5,2,2,1,0,1,16.000000,2.521739,1,Britney-Spears
0,1,0,0,1,0,0,0,1,0,0,7,2,3,0,3,1,5.666667,2.894737,3,Britney-Spears
1,0,0,0,0,0,1,1,1,0,1,6,2,3,1,0,0,9.500000,3.083333,2,Britney-Spears
0,1,0,0,0,1,0,0,0,2,0,6,0,0,0,0,1,9.000000,3.428571,2,Britney-Spears
0,0,0,1,0,0,0,1,1,0,0,6,6,0,0,0,0,25.000000,2.933333,1,Britney-Spears
1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,17.000000,4.000000,1,Britney-Spears
1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,3.500000,3.625000,2,Britney-Spears
0,0,0,0,0,0,2,0,1,0,1,2,6,0,0,0,0,6.500000,3.277778,2,Britney-Spears
0,0,0,0,0,0,2,1,1,0,0,3,4,0,0,0,0,10.000000,3.153846,1,Britney-Spears
3,1,2,1,0,0,0,0,0,0,0,2,0,3,0,1,0,13.000000,2.821429,2,Britney-Spears
0,3,0,0,1,0,0,0,2,0,0,10,2,1,0,2,1,26.000000,3.000000,1,Britney-Spears
3,0,0,1,0,0,0,1,7,0,2,5,1,4,1,0,0,32.000000,2.405405,1,Britney-Spears
1,0,1,0,0,0,1,0,0,0,0,4,2,2,0,1,2,9.666667,3.062500,3,Britney-Spears
0,1,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,13.000000,3.000000,1,Britney-Spears
1,0,2,0,0,0,0,1,0,0,0,4,2,1,0,0,1,11.000000,3.041667,2,Britney-Spears
